degree,start_date,end_date,institution,where,why0,why1,why2
"MS, PhD, Cognitive Psychology",2015,2020,"University of Massachusetts, Amherst","Amherst, MA",``Uncovering the Neural and Behavioral Factors That Underlie Changes in Processing Visual Orientation’’,Communicated results and methodologies through published articles and talks to audiences with varied technical backgrounds,Spearheaded data collection and storage for government grant funded research
"BA, Biology",2010,2014,Reed College,"Portland, OR",$1500 Grant – Thesis Research,$5500 Grant – Research Fellowship,
