degree,start_date,end_date,institution,where,why0,why1,why2,
"MS, PhD, Cognitive Psychology",2015,2020,"University of Massachusetts, Amherst","Amherst, MA",Formulated and implemented hierarchical Bayesian analysis for inference on high-dimensional medical imaging data,Coded pipelines for processing data on High Performance Computing cluster,Communicated results and methodologies through published articles and talks to audiences with varied technical backgrounds,"Designed, analyzed, and published experimental experiments"
"BA, Biology",2010,2014,Reed College,"Portland, OR",,,,
